q0,beta,alpha,error
0.5,1.0,0.1,30.858382325953816
0.5,1.0,0.3,31.030477230176903
0.5,1.0,0.5,31.074413732727294
0.5,1.0,0.7,32.91881847665035
0.5,1.0,0.9,32.71837804967994
0.5,1.5,0.1,23.875478618188144
0.5,1.5,0.3,23.701995847636187
0.5,1.5,0.5,24.18808026028132
0.5,1.5,0.7,24.08521038805551
0.5,1.5,0.9,24.242501980275446
0.5,2.0,0.1,19.178967553125656
0.5,2.0,0.3,18.939332237649154
0.5,2.0,0.5,19.25496882402934
0.5,2.0,0.7,18.991842970024678
0.5,2.0,0.9,19.644885376253892
0.5,2.5,0.1,16.47852497617564
0.5,2.5,0.3,16.217364730838707
0.5,2.5,0.5,16.345199101689925
0.5,2.5,0.7,15.62035584033473
0.5,2.5,0.9,16.231139651197964
0.5,3.0,0.1,14.502511320966521
0.5,3.0,0.3,14.033360589962808
0.5,3.0,0.5,14.408183163812934
0.5,3.0,0.7,14.795132190805138
0.5,3.0,0.9,15.061760627844622
0.5,3.5,0.1,12.530782628808403
0.5,3.5,0.3,13.531840726164305
0.5,3.5,0.5,12.71199819190117
0.5,3.5,0.7,12.947529632603652
0.5,3.5,0.9,12.631066284084154
0.5,4.0,0.1,12.243247288166797
0.5,4.0,0.3,12.097153567601096
0.5,4.0,0.5,12.595442007116194
0.5,4.0,0.7,12.27417306370637
0.5,4.0,0.9,12.054004771680965
0.5,4.5,0.1,11.603756104661409
0.5,4.5,0.3,11.809151568542582
0.5,4.5,0.5,11.84603881210794
0.5,4.5,0.7,11.694927077177473
0.5,4.5,0.9,11.925249578745209
0.5,5.0,0.1,11.12023763786424
0.5,5.0,0.3,11.86370346854632
0.5,5.0,0.5,11.486642097074002
0.5,5.0,0.7,11.449032119669901
0.5,5.0,0.9,11.551133550454464
0.6,1.0,0.1,24.345648924522944
0.6,1.0,0.3,24.916001679773323
0.6,1.0,0.5,24.98791659540077
0.6,1.0,0.7,25.73462536552898
0.6,1.0,0.9,27.090210933231514
0.6,1.5,0.1,19.902859390305952
0.6,1.5,0.3,19.332488912067426
0.6,1.5,0.5,19.936651139127743
0.6,1.5,0.7,20.57512864801814
0.6,1.5,0.9,20.76892309487932
0.6,2.0,0.1,16.438670805961053
0.6,2.0,0.3,16.50746810975748
0.6,2.0,0.5,17.057068353844112
0.6,2.0,0.7,16.676027180145688
0.6,2.0,0.9,17.429203727419107
0.6,2.5,0.1,14.483414783074227
0.6,2.5,0.3,14.977350832734427
0.6,2.5,0.5,13.996338377405934
0.6,2.5,0.7,14.37691009676229
0.6,2.5,0.9,14.234953043992252
0.6,3.0,0.1,13.065401250821434
0.6,3.0,0.3,12.774464912619113
0.6,3.0,0.5,13.14545159413859
0.6,3.0,0.7,12.971259024979734
0.6,3.0,0.9,13.733210648974024
0.6,3.5,0.1,11.868645705832803
0.6,3.5,0.3,12.588229288613602
0.6,3.5,0.5,12.82308091419243
0.6,3.5,0.7,12.486540343189759
0.6,3.5,0.9,11.971270323335615
0.6,4.0,0.1,11.738466722951264
0.6,4.0,0.3,11.709805934187502
0.6,4.0,0.5,12.19738868759779
0.6,4.0,0.7,11.893066599155993
0.6,4.0,0.9,11.875258188486132
0.6,4.5,0.1,11.397663512060477
0.6,4.5,0.3,11.505967293089904
0.6,4.5,0.5,11.1965459481095
0.6,4.5,0.7,11.673854104669525
0.6,4.5,0.9,11.431834489518815
0.6,5.0,0.1,11.350999738384004
0.6,5.0,0.3,11.265141970753099
0.6,5.0,0.5,11.259725894872291
0.6,5.0,0.7,10.925709159529662
0.6,5.0,0.9,11.292423373477057
0.7,1.0,0.1,19.83473734216602
0.7,1.0,0.3,18.929537414582445
0.7,1.0,0.5,19.384337271271686
0.7,1.0,0.7,20.40902342031683
0.7,1.0,0.9,21.075152998426734
0.7,1.5,0.1,16.517722014231705
0.7,1.5,0.3,16.432014140458847
0.7,1.5,0.5,16.517861484539885
0.7,1.5,0.7,17.43805688862854
0.7,1.5,0.9,17.229149873909385
0.7,2.0,0.1,15.033958472621139
0.7,2.0,0.3,13.827330388704938
0.7,2.0,0.5,14.556441169732839
0.7,2.0,0.7,14.854511151764036
0.7,2.0,0.9,14.647603474785505
0.7,2.5,0.1,13.528999446961189
0.7,2.5,0.3,13.613112183164708
0.7,2.5,0.5,13.607079005396352
0.7,2.5,0.7,13.521181679690699
0.7,2.5,0.9,13.144789271142088
0.7,3.0,0.1,12.744249532542135
0.7,3.0,0.3,12.646247835055272
0.7,3.0,0.5,12.599444566082024
0.7,3.0,0.7,12.21885378964413
0.7,3.0,0.9,12.171539501570624
0.7,3.5,0.1,11.725473827872646
0.7,3.5,0.3,12.255518273811267
0.7,3.5,0.5,12.323465154749655
0.7,3.5,0.7,11.76889471356984
0.7,3.5,0.9,11.778387753188676
0.7,4.0,0.1,11.50862677255806
0.7,4.0,0.3,12.09877556911442
0.7,4.0,0.5,11.804544511889151
0.7,4.0,0.7,11.796495554484355
0.7,4.0,0.9,11.403187291421839
0.7,4.5,0.1,10.964522569990251
0.7,4.5,0.3,11.399285551415968
0.7,4.5,0.5,11.203557413988548
0.7,4.5,0.7,11.281483331969095
0.7,4.5,0.9,11.499428867789147
0.7,5.0,0.1,10.913115366047597
0.7,5.0,0.3,11.348291134623755
0.7,5.0,0.5,11.679861199653818
0.7,5.0,0.7,11.356761143689399
0.7,5.0,0.9,11.469536074166252
0.8,1.0,0.1,15.760035457668598
0.8,1.0,0.3,15.208763616930977
0.8,1.0,0.5,15.583350441559093
0.8,1.0,0.7,15.672168388485613
0.8,1.0,0.9,16.749469796240735
0.8,1.5,0.1,14.117874782735749
0.8,1.5,0.3,14.144323133915334
0.8,1.5,0.5,13.920338273260544
0.8,1.5,0.7,14.188706815485432
0.8,1.5,0.9,14.169689139419907
