q0,beta,alpha,error
0.5,1.0,0.1,18.590604720348807
0.5,1.0,0.3,20.921713861996242
0.5,1.0,0.5,19.612115643161115
0.5,1.0,0.7,20.277870326340704
0.5,1.0,0.9,20.947902801369345
0.5,2.0,0.1,10.430837494015362
0.5,2.0,0.3,10.37955625715609
0.5,2.0,0.5,10.61449484790515
0.5,2.0,0.7,10.939297501280935
0.5,2.0,0.9,11.418306347937554
0.5,3.0,0.1,8.737919741811735
0.5,3.0,0.3,9.012241590360395
0.5,3.0,0.5,8.827989507062734
0.5,3.0,0.7,9.4567760559288
0.5,3.0,0.9,8.732490319324391
0.5,4.0,0.1,8.304760231873864
0.5,4.0,0.3,8.426262188512272
0.5,4.0,0.5,8.557201206632444
0.5,4.0,0.7,8.390520654864694
0.5,4.0,0.9,8.176442881313472
0.5,5.0,0.1,8.356351188402279
0.5,5.0,0.3,8.51106985866492
0.5,5.0,0.5,8.406658712476947
0.5,5.0,0.7,8.39107825402754
0.5,5.0,0.9,8.375044371087819
0.7,1.0,0.1,11.821488803195589
0.7,1.0,0.3,12.719470662282086
0.7,1.0,0.5,13.60762499387911
0.7,1.0,0.7,13.107210836547955
0.7,1.0,0.9,13.562742661220472
0.7,2.0,0.1,9.263573320282172
0.7,2.0,0.3,8.8629196725272
0.7,2.0,0.5,9.320394196477778
0.7,2.0,0.7,8.98801368944455
0.7,2.0,0.9,9.072946179454396
0.7,3.0,0.1,8.32798531585857
0.7,3.0,0.3,8.505823697253648
0.7,3.0,0.5,8.252313767843278
0.7,3.0,0.7,8.3991024470599
0.7,3.0,0.9,8.230206952134443
0.7,4.0,0.1,8.06553360410511
0.7,4.0,0.3,7.899424950651261
0.7,4.0,0.5,8.43341418480058
0.7,4.0,0.7,8.646886313095779
0.7,4.0,0.9,8.19715627659905
0.7,5.0,0.1,8.72718212721843
0.7,5.0,0.3,8.465142959170258
0.7,5.0,0.5,8.19366918914439
0.7,5.0,0.7,8.64668771669615
0.7,5.0,0.9,8.361102813597503
0.9,1.0,0.1,8.637464907434445
0.9,1.0,0.3,8.562597326423399
0.9,1.0,0.5,8.78028283446666
0.9,1.0,0.7,9.093395309921274
0.9,1.0,0.9,8.844806719548377
0.9,2.0,0.1,8.674065980049567
0.9,2.0,0.3,8.600321910560655
0.9,2.0,0.5,8.462941687192275
0.9,2.0,0.7,8.782690645374059
0.9,2.0,0.9,8.41811492121936
0.9,3.0,0.1,8.861086930197715
0.9,3.0,0.3,9.005668805276198
0.9,3.0,0.5,9.161412322320754
0.9,3.0,0.7,8.981567668720242
0.9,3.0,0.9,8.90835294900005
0.9,4.0,0.1,9.497415725995612
0.9,4.0,0.3,9.580451732121075
0.9,4.0,0.5,9.140266666349222
0.9,4.0,0.7,9.559189534559268
0.9,4.0,0.9,9.569758218769957
0.9,5.0,0.1,9.368838038027087
0.9,5.0,0.3,10.06455153264699
0.9,5.0,0.5,9.03091697628796
0.9,5.0,0.7,9.656333604817334
0.9,5.0,0.9,9.131507364870856
